heads_from,heads,tested_on,original,switched,neither,switch_rate
FavoriteColor both_linear,"[(15, 11), (15, 2), (15, 13), (14, 23), (15, 27), (9, 18), (15, 1), (14, 18), (15, 8), (12, 18), (15, 29), (12, 24), (12, 28), (15, 15), (15, 22), (12, 9)]",FavoriteColor,7,18,25,36.0
FavoriteColor both_linear,"[(15, 11), (15, 2), (15, 13), (14, 23), (15, 27), (9, 18), (15, 1), (14, 18), (15, 8), (12, 18), (15, 29), (12, 24), (12, 28), (15, 15), (15, 22), (12, 9)]",LivesInCity,7,30,13,60.0
FavoriteColor wrong,"[(12, 21), (12, 18), (9, 18), (12, 20), (14, 2), (14, 26), (12, 6), (13, 7), (12, 16), (12, 30), (15, 11), (15, 23), (14, 21), (15, 2), (7, 22), (11, 17)]",FavoriteColor,22,2,26,4.0
FavoriteColor wrong,"[(12, 21), (12, 18), (9, 18), (12, 20), (14, 2), (14, 26), (12, 6), (13, 7), (12, 16), (12, 30), (15, 11), (15, 23), (14, 21), (15, 2), (7, 22), (11, 17)]",LivesInCity,30,5,15,10.0
LivesInCity both_linear,"[(15, 11), (14, 18), (15, 13), (15, 2), (3, 18), (15, 29), (14, 23), (11, 21), (15, 27), (9, 18), (15, 22), (12, 24), (15, 18), (14, 22), (12, 28), (15, 8)]",FavoriteColor,8,19,23,38.0
LivesInCity both_linear,"[(15, 11), (14, 18), (15, 13), (15, 2), (3, 18), (15, 29), (14, 23), (11, 21), (15, 27), (9, 18), (15, 22), (12, 24), (15, 18), (14, 22), (12, 28), (15, 8)]",LivesInCity,22,12,16,24.0
LivesInCity wrong,"[(12, 21), (9, 18), (12, 18), (8, 1), (14, 21), (5, 3), (12, 20), (14, 15), (15, 3), (12, 24), (14, 2), (7, 22), (11, 18), (10, 9), (14, 5), (14, 26)]",FavoriteColor,40,1,9,2.0
LivesInCity wrong,"[(12, 21), (9, 18), (12, 18), (8, 1), (14, 21), (5, 3), (12, 20), (14, 15), (15, 3), (12, 24), (14, 2), (7, 22), (11, 18), (10, 9), (14, 5), (14, 26)]",LivesInCity,40,1,9,2.0
BASELINE,[],FavoriteColor,45,0,5,0.0
BASELINE,[],LivesInCity,48,1,1,2.0
ALL HEADS,768 heads,FavoriteColor,0,38,12,76.0
ALL HEADS,768 heads,LivesInCity,0,44,6,88.0
